,title,text
0,Esta fue la condena para joven que mató a su exnovia ahogándola en un río,"Durante la jornada de este martes, el Tribunal de Garantía de Osorno condenó a 18 años de cárcel a Javier Millao Cárdenas (22), por el femicidio de su ex pareja Scarlett Díaz Llaitul (19), con quien tenía un hijo en común. Según informó Soy Chile, los hechos ocurrieron el 12 de febrero de 2019 en la comuna de San Juan de la Costa, cuando Millao sumergió la cabeza de la joven en el río Contaco, provocando que ésta muriera ahogada. “Cabe destacar la mirada como crimen de género que dio el Tribunal en su fallo, lo que dice relación con los planteamientos realizados tanto por esta Fiscalía como por la querellante del Servicio Nacional de la Mujer y Equidad de Género”, recalcó el fiscal, Narciso García, según consignó el mismo medio. Desde la Corporación Mujeres Siglo XXI, si bien valoraron el fallo, mostraron preocupación por el futuro del menor que quedó sin padre ni madre a causa del hecho.  Imagen de referencia"
1,La Fiscalía pide 20 años de cárcel para acusado de matar a una joven en Liucura,"Cerca de 20 personas se mantuvieron en el acceso al Tribunal de calle Los Carrera para manifestarse en el inicio del juicio oral en contra del acusado Javier Millao Cárdenas (23 años), quien el 12 de febrero del 2019, según la investigación de la fiscalía, asesinó a su ex pareja Scarlett Díaz Llaitul (19 años) con quien además tiene un hijo. La primera jornada de juicio oral en su contra se realizó con una audiencia semipresencial y con el imputado declarando desde la cárcel. El Ministerio Público, mediante el abogado Narciso García, busca acreditar la participación de Millao Cárdenas en el femicidio y conseguir que los jueces lo sentencien a 20 años de cárcel. Según la investigación, el joven y la víctima llegaron hasta el sector de Liucura, en San Juan de la Costa, donde el hombre habría sumergió en las aguas del río a la mujer, quien falleció de asfixia por sumersión. El abogado defensor, Iván Cárdenas, se inclina por la absolución de su representando, quien en su declaración negó la autoría de la muerte. El acceso al tribunal estuvo cerrado y en el exterior se manifestaron agrupaciones feministas que apoyan a la familia de Scarlett Díaz."
2,Organizaciones de la mujer critican condena dada a femicida en Osorno,"Entidades de la mujer de la provincia de Osorno han manifestado su descontento con la condena dada a Javier Millao Cárdenas, imputado por haber ahogado a su pareja Scarlett Díaz Llaitul, en el río Contaco. Según informó El Austral de Osorno, organizaciones como el grupo Mujeres Siglo XXI y el Centro de la Mujer de Osorno, han señalado que Millao merecía cadena perpetua, en vez de los 18 años que determinó el tribunal. “Estuvimos muy comprometidas con este caso y atentas al resultado de este juicio, donde se dio una sentencia de 18 años al ahora condenado por este grave delito, pero para nosotras siempre un femicidio no va a tener una compensación por el daño generado. Lo que pedimos siempre es que haya un máximo de condena para el agresor, por eso no estamos conformes con la sanción aunque hay que acatarla. Nos hubiese gustado la pena máxima que es la perpetuidad”, señaló a dicho periódico Lucinda Hernández, presidente de la agrupación Mujeres Siglo XXI. Por su parte, la abogada y coordinadora provincial del Centro de la Mujer Osorno, Pilar Keim, aseguró que “independiente de los años que a nuestro juicio son pocos, el daño a la familia no va a pasar nunca. En la región sí han existido condenas mayores de 20 años, pero esta se encuentra dentro del promedio que se han otorgado en otros procesos. No conocemos si la familia estará de acuerdo con el fallo, pero como institución siempre vamos a querer la pena máxima y en estos casos por lo menos en Osorno no se ha dado”, señaló al mismo medio. El asesinato de la joven de 19 años, quien había tenido un hijo con Millao, se produjo en febrero de 2019 en la comuna de San Juan de la Costa.  Imagen de referencia"
3,Condena de 18 años para femicida provoca inconformidad en entidades de la mujer,"Inconformidad generó la condena de 18 años por el delito de femicidio que recibió el imputado Javier Millao Cárdenas, quien en febrero del año 2019 sumergió de manera forzada a su pareja, Scarlett Díaz Llaitul, en el río Contaco ubicado en la comuna de San Juan de la Costa. La mañana del martes los jueces realizaron la lectura del fallo en el Tribunal Oral en Lo Penal de Osorno en contra del ahora condenado, quien por unanimidad deberá cumplir de manera efectiva esta pena como autor de dicho delito. Diferentes voces como el grupo Mujeres Siglo XXI y el Centro de la Mujer de Osorno coincidieron en señalar que la condena de 18 años podría haber sido mayor, tal como ha ocurrido en otros casos de femicidios en la región. La presidente de la agrupación Mujeres Siglo XXI, Lucinda Hernández, comentó que ""estuvimos muy comprometidas con este caso y atentas al resultado de este juicio, donde se dio una sentencia de 18 años al ahora condenado por este grave delito, pero para nosotras siempre un femicidio no va a tener una compensación por el daño generado. Lo que pedimos siempre es que haya un máximo de condena para el agresor, por eso no estamos conformes con la sanción aunque hay que acatarla. Nos hubiese gustado la pena máxima que es la perpetuidad"". Añadió que no cree que estos 18 años sean efectivos porque el condenado ya lleva dos años privados de libertad y en el transcurso de su condena puede recibir algún tipo de beneficio, por ejemplo, si tiene buena conducta. En tanto la abogada y coordinadora provincial del Centro de la Mujer Osorno, Pilar Keim, también coincidió en señalar que le hubiese gustado una pena mayor dada la gravedad del delito. ""Respecto de la condena, la verdad es que independiente de los años que a nuestro juicio son pocos, el daño a la familia no va a pasar nunca. En la región sí han existido condenas mayores de 20 años, pero esta se encuentra dentro del promedio que se han otorgado en otros procesos. No conocemos si la familia estará de acuerdo con el fallo, pero como institución siempre vamos a querer la pena máxima y en estos casos por lo menos en Osorno no se ha dado"", manifestó Keim. Agregó que en estos casos las familias de las víctimas siempre son contactadas a modo de ofrecerles apoyo, mientras que es el Servicio Nacional de la Mujer y Equidad de Género (Sernameg) quien se hace parte de las querellas en lo legal. Los hechos ocurrieron el 12 de febrero de 2019, cuando Millao sumergió de manera forzada la cabeza de la víctima, su ex pareja de 19 años y madre de un hijo en común, en las aguas del río Contaco. En la oportunidad las policías informaron, según la propia declaración del acusado, que ambos se encontraban en una discusión y que a raíz de eso el hombre sujetó a la joven por la fuerza, la arrojó al río y le sumergió la cabeza y el cuerpo en el agua hasta que perdió la vida. El Servicio Médico Legal (SML) determinó que la causa de muerte correspondió a una asfixia por sumersión. ""Cabe destacar la mirada como crimen de género que dio el Tribunal en su fallo, lo que dice relación con los planteamientos realizados tanto por esta Fiscalía como por la querellante del Servicio Nacional de la Mujer y Equidad de Género"", recalcó el abogado Narciso García. El fiscal destacó el trabajo realizado por Carabineros de Bahía Mansa, funcionarios del SML de la ciudad de Osorno, personal de la Brigada de Homicidios, del Laboratorio de Criminalística de la PDI, así como el compromiso de la familia de la víctima durante todo el proceso. ""Lo que pedimos siempre es que haya un máximo de condena para el agresor, por eso no estamos conformes con la sanción"". Lucinda Hernández, Pdta Mujeres Siglo XXI 12 de febrero de 2019 el ahora condenado ahogó a su pareja de 19 años, Scarlett Díaz."
