,title,text
0,"Denuncias por delitos sexuales aumentan 27,7% en Chiloé","La Policía de Investigaciones (PDI) a nivel nacional entregó en los últimos días un preocupante estadístico a nivel nacional: las denuncias por delitos sexuales aumentaron un 24,7 por ciento durante el primer semestre, con relación al igual periodo del 2020. El confinamiento durante la pandemia del covid-19 se vislumbró como uno de los factores gatillantes de esta cruda realidad. El jefe de la Brigada Investigadora de Delitos Sexuales (Brisex) Metropolitana, Manuel Fuentes, señaló que ""son las personas más cercanas (los autores), entonces al estar confinado víctima y victimario, conviven en el mismo espacio físico (…) lo que podría ser una causa del aumento de las denuncias, porque han ocurrido más hechos en este contexto"". Esta dinámica golpea incluso con más fuerza a la provincia, donde estos aberrantes ataques están enquistados en la sociedad. Según los antecedentes que entrega el Centro de Estudios y Análisis del Delito (CEAD) de la Subsecretaría de Prevención del Delito del Ministerio del Interior, durante los primeros seis meses de este 2021 las notificaciones por estos ilícitos de connotación sexual se incrementaron en un 27,7%, en comparación con el año pasado. Denuncios por 30 violaciones y 76 abusos y otros ilícitos relacionados, se contabilizaron en este periodo, a diferencia de los 83 totales que el 2020 fueron informados a las policías. Con relación a casos policiales, que junto a las denuncias incluye las detenciones flagrantes, el alza en el primer semestre de esta temporada llegó a un 24,2%. En el marco de este escenario, el jefe de la Brisex de Ancud, el subprefecto Mauricio Espinoza, enfatizó que esta unidad especializada ""registró una leve alza respecto a la cantidad de denuncias realizadas en el primer semestre de este año, en comparación al mismo periodo del año 2020"". Aclaró el oficial que ""de acuerdo a las estadísticas internas de la PDI, se trata de hechos de connotación sexual ocurridos en la provincia, destacando el abuso sexual de menor de 14 años como el delito con mayor cantidad de denuncias, tanto en el 2020 como el 2021; seguido por el delito de violación de menor de 14 años, realidad que se replica con las cifras existentes a nivel nacional"". Respecto de las órdenes de investigar recibidas por la Brisex, ""estas pasaron de 158 decretos durante el primer semestre del 2020 a un total de 162 durante el mismo periodo del presente año"". Bajo este contexto, el jefe policial hizo un llamado a la comunidad a dar cuenta de estos ilícitos, ""acercándose tanto a los cuarteles de la PDI de Ancud, Castro y Quellón, como también a cualquiera de las fiscalías locales de Chiloé"". Por su parte, esta tendencia al alza igual se observa en el resto de este año en la jurisdicción más populosa de Carabineros: la Segunda Comisaría de Castro, que junto a la capital chilota incluye a las comunas de Dalcahue, Chonchi, Puqueldón, Curaco de Vélez y Quinchao. Según los datos que entrega el Sistema Táctico de Operación Policial (STOP), hasta el 29 de agosto pasado, se observó un incremento del 36% de los casos policiales por violación. Junto con explicar que esta alza se grafica en cuatro hechos más durante este periodo del 2021, con relación a igual lapso del 2020, el mayor Gustavo Guajardo, titular de la unidad base, enfatizó que ""uno de los factores que podrían explicar este aumento está dado en que se han denunciando más hechos en este tiempo, por delitos que ocurrieron en años anteriores"". ""El abuso sexual de menor de 14 años es el delito con mayor cantidad de denuncias, tanto en el 2020 como el 2021; seguido por el de violación de menor de 14 años"". Mauricio Espinoza,, jefe de la Brisex de Ancud. La Fiscalía Regional de Los Lagos también informó de alzas relativas a delitos de connotación sexual, en cuanto a salidas judiciales, que alcanzaron durante el primer semestre de este año un 49%, situando a Los Lagos como la región con el más alto porcentaje en el país con relación a sentenciadas condenatorias, suspensiones condicionales u otras formas de término de estas causas. 106 notificaciones por delitos sexuales se registraron el primer semestre de este año."
1,Joven admite tres delitos de VIF contra expareja: la amenazó con cuchillo,"A tres delitos en contexto de violencia intrafamiliar (VIF) fue sentenciado en las últimas horas un sujeto que intimidó con un cuchillo de 17 centímetros de largo a su expareja en Puqueldón. Un procedimiento abreviado que se llevó a cabo en el Juzgado de Garantía de Castro. El imputado fue detenido en flagrancia por Carabineros del retén local. Así lo indicó el teniente Roberto Torres, jefe de la Tenencia de Chonchi, con jurisdicción en la comuna, añadiendo que tras la denuncia de la víctima de 38 años, funcionarios de la unidad se constituyeron en el inmueble ""ubicando al denunciado en el entretecho"". Como explicó el oficial, el sujeto de 34 años llegó en estado de ebriedad a la casa de su exconviviente. Tras ingresar, ""se sentó en el comedor donde extrajo un arma blanca amenazando a la víctima"", detalló, sumando que el cuchillo fue incautado. Tras el requerimiento verbal del fiscal Fernando Metzner, el encartado admitió responsabilidad, siendo condenado por dos delitos de amenazas (uno perpetrado el 12 de mayo pasado) y otro de violación de morada (el domingo pasado ocurrieron los otros dos ilícitos). La magistrada Alejandra Varas dictó una pena sustitutiva contra este agresor, de 136 horas de prestación de servicios a la comunidad."
2,Denuncia por abuso genera furia entre vecinos de Chonchi,"En destrozos, saqueo y un principio de incendio terminó una movilización autoconvocada a través de las redes sociales, para manifestar el repudio por un eventual abuso sexual que habría sufrido un niño de 7 años, por parte una persona sindicada como el dueño de un frutería en la comuna de Chonchi. A través de las redes sociales fue evidenciado el hecho que está siendo investigado por la Fiscalía de Castro, relato en el que se dio cuenta de parte de los vejámenes que habría sufrido un menor de una familia gitana. De esta forma, la tarde del jueves un grupo de personas se congregó afuera del local comercial con pancartas, situación que posteriormente se descontroló llegando a la destrucción y saqueo, lo que incluso dejó 7 personas detenidas, quienes ayer fueron encausadas por robo (ver recuadro). El mayor Gustavo Guajardo, jefe de la Segunda Comisaría de Carabineros de Castro, explicó que ""el 21 de diciembre personal de la Tenencia de Chonchi acogió una denuncia por abuso sexual en contra de un menor donde se sindicaba como autor de los hechos a una persona que sería el arrendatario de este local comercial, el cual mantiene un negocio destinado a la frutería"". En este contexto, agregó que ""la comunidad se organizó a través de las redes sociales y generaron una manifestación en el frontis de este local, la cual terminó con hechos ya conocidos como el saqueo del local y sustracción de diferentes especies, y ocasionaron daños con piedras, con elementos contundentes y destruyeron la reja exterior del inmueble"". Junto con ello, el oficial comentó que cerca de las 21 horas del jueves se generó un amago de incendio en la zona del entretecho del inmueble, emergencia que fue controlada por la rápida acción de los voluntarios del Cuerpo de Bomberos de Chonchi. ""Queremos hacer un llamado a la comunidad a que respete el ordenamiento jurídico que nosotros mantenemos en nuestro país, que no trate de tomar ningún tipo de represalias por sus manos porque es la justicia la que determinará las circunstancias en que ocurrieron los hechos y la participación de la persona que está sindicada como autor de estos gravísimos hechos en caso de que fueran ciertos"", puntualizó el mayor. Tras acoger la denuncia, Carabineros dio cuenta de los hechos al Ministerio Público y además se activaron las redes de apoyo para el menor. En este sentido, el fiscal Luis Barría, sostuvo que como Ministerio Público ""nos encontramos investigando un delito de abuso sexual en contra de un menor de edad ocurrido en la comuna de Chonchi. Como fiscalía realizamos las primeras diligencias principalmente toma de algunas declaraciones al menor y, posteriormente, solicitar los exámenes periciales respectivos al Servicio Médico Legal (SML)"". El organismo persecutor como parte de esta indagatoria entregó una orden de indagar a la Brigada de Delitos Sexuales (Brisex) de la Policía de Investigaciones de Ancud. Además, el abogado comentó que ""todas esas diligencias se están desarrollando en esta investigación y una vez obtenidos los resultados respectivos se tomará una decisión para continuar con esta investigación"". ""Queremos hacer un llamado a la comunidad a que respete el ordenamiento jurídico"". Gustavo Guajardo,, jefe de la Segunda Comisaría de Carabineros de Castro. Por el delito de robo en lugar no habitado fueron formalizados los siete detenidos -cinco hombres y dos mujeres- en la audiencia que se realizó ayer tras los incidentes registrados en la comuna de Chonchi. Rodrigo Zamorano, defensor público, explicó que ninguno de sus representados posee antecedentes penales e incluso algunos son estudiantes de educación superior. Con las medidas cautelares de arraigo nacional y firma mensual quedaron los imputados por este hecho. También se fijó un plazo de investigación de 60 días. ""No se cuestionó la legalidad de la detención y respecto a las cautelares, no se pidieron medidas gravosas"", afirmó el abogado. Asimismo, el profesional sumó que ""durante la investigación se revisará la calificación jurídica del delito y la participación"". 60 días fue el plazo que se estableció para el cierre de la investigación por el delito de robo. 7 años tendría el menor que habría sido víctima de agresiones de tipo sexual."
3,Vecinos saquearon y apedrearon frutería e intentarlo incendiarla: Dueño fue denunciado por abuso sexual,"Un negocio local fue apedreado, saqueado y a punto de ser incendiado, tras conocerse una denuncia en contra de su dueño, causado por el delito de abuso sexual infantil. Según consignó Radio Bio Bio, se trata de la frutería ""Los Reyes de la Fruta"", ubicada en la localidad de Chonchi, hasta la que llegó un grupo de personas, quienes fueron congregadas luego de una marcha al conocerse la noticia que Carabineros acogió la denuncia en contra del sujeto. Así lo confirmó Gustavo Guajardo, mayor de la Segunda Comisaría, quien entregó los primeros antecedentes del caso. ""El día 21 de diciembre se acogió una denuncia por abuso sexual contra un menor, donde se sindicaba como autor de los hechos a la persona que sería arrendatario del local. En este contexto, la comunidad se organizó por redes sociales y generaron una manifestación"", relató."
