,title,text
0,Ordenan cambio de celda por recluso covid positivo,"Los alcances del primer interno contagiado con covid-19 que contabilizan las cárceles de la provincia siguen extendiéndose, después que la defensa de uno de los dos reclusos con los que comparte celda de aislamiento en audiencia de cautela de garantías exigiera su traslado a otra repartición dentro de la unidad penal de Castro. El requerido de 50 años arrojó negativo al examen de PCR que fue sometido por permanecer en contacto con este condenado que se infectó en su salida trimestral -cumple sentencia en el CET de Osorno por un robo con homicidio cometido en Dalcahue-, tras visitar a su familia en Chonchi. Por ser el penal castreño el más cercano fue remitido al recinto de calle Monjitas. Ante los riesgos de propagación, el defensor Nelson Troncoso, quien representa al sujeto que está en prisión preventiva por un caso de lesiones menos graves en contexto de violencia intrafamiliar pidió su cambio de módulo. ""La magistrada se contactó con Gendarmería y ordenó que se separara del contagiado con coronavirus y que permaneciera en otra celda cumpliendo con su aislamiento preventivo"", indicó el abogado. Igualmente, el profesional remarcó que hoy, también por este mismo isleño, se analiza un recurso de amparo que interpuso ante la Corte de Apelaciones de Puerto Montt para impugnar la decisión que lo privó de libertad por esta causa de VIF. ""Pedimos que se suspenda el procedimiento por enajenación mental y salga de la cárcel, ya que presentamos informes siquiátricos, la ficha clínica que demuestra esta condición"", manifestó el abogado."
1,Ancud: sin vida encuentran a joven desaparecido en Linao,"Desde este lunes por la tarde familiares y cercanos de Helmuth Cárdenas (36) habían iniciado una campaña para encontrarlo, luego que se le perdiera su rastro tras salir de su domicilio. Lo que se sabía hasta ese momento era que se dirigiría al río Negro, en el sector de Linao, en Ancud, para realizar actividades de pesca luego de lo cual  no se supo más de su paradero. Con estos antecedentes, se activó una búsqueda que en principio se realizó por familiares y amigos, y que fue complementada con la participación de voluntarios de bomberos y personal del GOPE de Carabineros. Este jueves se realizaron nuevas las labores de rastreo que tuvieron resultados positivos, encontrado el cuerpo sin vida del joven en las cercanías de un río, en las inmediaciones del sector El Mañío. CUERPO EN RIO Según lo señalado por Capitán Nicolás Muñoz Urbina, tras el hallazgo de los restos personal Labocar de Puerto Montt, se dirigió al lugar para realizar las pericias científicas en el lugar, con la finalidad de aclarar las circunstancias de su muerte. “El personal concurre hacia el sector de Linao, con la finalidad de realizar pericias al cadáver de un individuo adulto, quien días antes había desaparecido, siendo encontrado por personal del GOPE de Carabineros de Los Lagos”, expresó. En este contexto, el Fiscal del Ministerio Público de Ancud, Javier Calisto Garay, señaló que la persona salió desde su vivienda en la ciudad. “Las labores de búsqueda se dispusieron en su momento cuando se nos denunció una presunta desgracia. Se trata de una persona que vivía en el sector urbano de Ancud y que vino al sector rural”, expresó el abogado. Respecto a las condiciones en que se encontró el cuerpo agrego que “la persona se encontraba en un río, se dispuso la concurrencia del Labocar y el Servicio Médico Legal, para efectos de los peritajes de rigor. En principio no figura ningún antecedente que hiciera pensar en la participación de terceras personas”, expresó el jurista. Pie de foto: Este jueves se realizaron nuevas las labores de rastreo que tuvieron resultados positivos, encontrado el cuerpo sin vida del joven. VEREDICTO VIOLACION (RECUADRO) En otro hecho policial, el Tribunal Oral en lo Penal de Castro entregó un veredicto condenatorio por el delito de violación ocurrido en la capital insular en el mes de febrero de 2020. Se trata de una situación ocurrida en un sector rural de la comuna de Chonchi, siendo la victima una mujer adulta. “La víctima, luego de haber consumido alcohol y privada del sentido para poder oponerse a esta agresión sexual que padeció. Para este juicio se realizó una investigación el año pasado con la Brigada de Delitos Sexuales de la Policía de Investigaciones. Además de prueba científica y pericial que también fue incorporada en el juicio y que permitió al tribunal alcanzar esta convicción de condena”, expresó el Fiscal jefe de Castor, Enrique Canales. La sentencia del caso será leída el próximo lunes, donde se conocerá la sanción que el tribunal entregara para esta persona, siendo que la pretensión del ministerio público es una pena de 7 años de cárcel."
2,5 años y un día de presidio efectivo para autor de violación,"En fallo unánime, el Tribunal de Juicio Oral en lo Penal de Castro condenó a 5 años y un día de presidio a C.O.M.M. por el delito de violación en contra de su pareja, en un hecho ocurrido en ilícito perpetrado en julio de 2019 en la comuna de Chonchi. El tribunal, integrado por los jueces Angélica Monsalve Vásquez (presidenta), Patricio Carrasco Uribe (redactor) y Rodrigo Alarcón Contreras, además consideró las accesorias legales de inhabilitación absoluta perpetua para cargos y oficios públicos y derechos políticos y la inhabilitación absoluta para profesiones titulares durante el tiempo de la condena. Una vez que el fallo quede ejecutoriado, el tribunal dispuso que se proceda a la toma de muestras biológicas del sentenciado para determinar su huella genética e inclusión en el registro nacional de ADN de condenados. VIOLACION El tribunal dio por acreditado, más allá de toda duda razonable, que aproximadamente a las 8.30 horas del 30 de julio de 2019, la víctima se encontraba en el baño de su domicilio, ubicado en el sector rural Quilipulli de Chonchi, momento en que su conviviente, el imputado C.O.M.M. ingresó y la tomó con fuerza de un brazo, llevándola al dormitorio, “instándola a mantener relaciones sexuales, lo que fue rechazado por la víctima debido a que éste se encontraba bajo los efectos del alcohol, lo que provocó que la insultara y la sometiera por la fuerza hasta hacerla desistir de su resistencia, arrojándola sobre la cama”, donde la violó. Luego abandonó la habitación dejándola allí, “por lo que en cuanto tuvo la ocasión huyó del lugar junto a su hijo de siete años de edad, dirigiéndose directamente a Carabineros a denunciar lo sucedido”. A consecuencia de la agresión, la víctima resultó, además, con una lesión escoriativa en cara medial del brazo derecho, contusión en región parietal y en una oreja. CARCEL EFECTIVA En esta línea, desde la Fiscalía de Castro se indicó que “la pena es de cumplimiento efectivo, y si bien es levemente inferior a lo que había solicitado el Ministerio Público en la acusación, se mantuvo dentro del grado, lo que significó que no hubo reconocimiento de aminorantes de responsabilidad penal que favorecieran a esta persona y que por lo tanto permitieran al tribunal bajar la pena”, sentenció Enrique Canales, jefe de la Fiscalía de Castro."
3,Criminal arriesga severa pena por ultrajar a su conviviente en Chonchi,"Ante el peso del valiente testimonio de la víctima, durante la jornada de ayer se acreditó la responsabilidad de un sujeto en el delito de violación, perpetrado contra quien era su conviviente en Chonchi. Un ataque sexual por el que invocan una pena de 7 años de cárcel contra el delincuente. En audiencia que se extendió dos jornadas en el Tribunal Oral en lo Penal de Castro, la sala presidida por la magistrada Loreto Yáñez conoció los antecedentes acusatorios contra el imputado de iniciales C. O. M. M. (41), quien nuevamente enfrentó a la justicia, puesto que ya había sido condenado -por el sistema penal antiguo- a 18 años de presidio por un robo con homicidio. Los hechos en este caso ocurrieron el 30 de julio del 2019, apenas 21 días después que comenzara la relación entre los intervinientes. Esa jornada, los sentenciadores ratificaron que el acusado atacó a la mujer de 43 años, quien sufrió una serie de lesiones. Tras escapar de la casa pidió ayuda a un vecino que la trasladó en camioneta hasta el cuartel de Carabineros donde estampó la denuncia. Como especificó el fiscal Enrique Canales, quien sustanció las diligencias, esta dinámica fue confirmada por los jueces, lo cual desvirtuó la presunción de inocencia que amparaba al encartado. ""Se entregó el veredicto condenatorio por un delito de violación con el uso de la fuerza que padeció una mujer en un sector rural. En el juicio se rindió toda la prueba, siendo fundamental la detallada declaración que prestó la víctima sobreponiéndose de lo que significó para ella enfrentar un tribunal, siendo valiente pero contando su dramática experiencia"", dijo el abogado. A su vez, el persecutor valoró la evidencia que derivó del trabajo de la Brigada Investigadora de Delitos Sexuales (Brisex) de Ancud y los peritos del Servicio Médico Legal (SML). ""No menor fue el aporte de testigos, personas que incluso no tenían relación con la víctima pero colaboraron con la justicia penal y permitieron la reivindicación de esta víctima"", añadió. Por su parte, el defensor Juan Manuel Castro, quien había solicitado preliminarmente la absolución ""por insuficiencia probatoria"", como indicó, está pidiendo 5 años y un día de presidio, ""con el concurso de la atenuante de colaboración sustancial, en base a la declaración que prestó mi representado en el juicio"". La lectura de sentencia quedó fijada para este domingo en la misma sala."
